iter	Passed	Remaining
0	9	9664
1	15	7629
2	20	6882
3	26	6527
4	33	6688
5	39	6469
6	44	6306
7	49	6156
8	55	6080
9	60	6008
10	66	5991
11	71	5924
12	77	5869
13	82	5828
14	88	5814
15	93	5780
16	99	5766
17	105	5728
18	110	5708
19	116	5693
20	122	5697
21	127	5683
22	133	5677
23	139	5661
24	144	5642
25	150	5622
26	155	5602
27	161	5596
28	166	5567
29	172	5562
30	177	5557
31	183	5542
32	188	5526
33	193	5507
34	199	5502
35	205	5493
36	210	5487
37	216	5476
38	221	5462
39	227	5452
40	232	5449
41	238	5434
42	243	5417
43	249	5424
44	255	5422
45	261	5421
46	266	5412
47	272	5405
48	278	5397
49	284	5398
50	289	5388
51	295	5386
52	302	5399
53	307	5393
54	314	5395
55	319	5388
56	325	5387
57	331	5381
58	336	5373
59	342	5359
60	347	5354
61	353	5348
62	359	5344
63	364	5336
64	371	5342
65	376	5328
66	382	5320
67	387	5315
68	393	5308
69	399	5301
70	405	5303
71	410	5294
72	416	5286
73	421	5276
74	426	5266
75	432	5263
76	438	5252
77	443	5241
78	449	5240
79	455	5239
80	461	5232
81	466	5226
82	472	5222
83	478	5215
84	483	5207
85	489	5204
86	495	5196
87	500	5192
88	506	5181
89	512	5177
90	517	5169
91	522	5161
92	528	5154
93	534	5148
94	539	5138
95	545	5134
96	550	5128
97	556	5119
98	561	5113
99	567	5104
100	572	5099
101	579	5100
102	584	5094
103	591	5091
104	597	5089
105	602	5083
106	608	5076
107	613	5068
108	618	5059
109	624	5050
110	630	5046
111	635	5040
112	641	5032
113	647	5028
114	652	5021
115	657	5010
116	663	5004
117	668	4998
118	674	4991
119	679	4986
120	685	4979
121	691	4973
122	696	4966
123	702	4962
124	708	4956
125	713	4949
126	719	4942
127	724	4938
128	730	4932
129	735	4924
130	741	4919
131	747	4914
132	753	4912
133	759	4906
134	764	4900
135	770	4896
136	776	4890
137	782	4886
138	787	4879
139	793	4874
140	798	4866
141	805	4868
142	811	4862
143	816	4855
144	822	4847
145	827	4840
146	832	4831
147	838	4824
148	843	4816
149	849	4811
